ds,y,add_1,add_2,add_3
2020-06-10 05:45:00,1266751.0,2,0,0
2020-06-10 06:00:00,1272727.0,2,0,0
2020-06-10 06:15:00,1279790.0,2,0,0
2020-06-10 06:30:00,1287227.0,2,0,0
2020-06-10 06:45:00,1296045.0,2,0,0
2020-06-10 07:00:00,1304336.0,2,0,0
2020-06-10 07:15:00,1308345.0,2,0,0
2020-06-10 07:30:00,1305924.0,2,0,0
2020-06-10 07:45:00,1300202.0,2,0,0
2020-06-10 08:00:00,1299750.0,2,0,0
2020-06-10 08:15:00,1303091.0,2,0,0
2020-06-10 08:30:00,1307626.0,2,0,0
2020-06-10 08:45:00,1311852.0,2,0,0
2020-06-10 09:00:00,1316159.0,2,0,0
2020-06-10 09:15:00,1319573.0,2,0,0
2020-06-10 09:30:00,1322929.0,2,0,0
2020-06-10 09:45:00,1324889.0,2,0,0
2020-06-10 10:00:00,1327253.0,2,0,0
2020-06-10 10:15:00,1329099.0,2,0,0
2020-06-10 10:30:00,1330878.0,2,0,0
2020-06-10 10:45:00,1331950.0,2,0,0
2020-06-10 11:00:00,1333320.0,2,0,0
2020-06-10 11:15:00,1334342.0,2,0,0
2020-06-10 11:30:00,1335388.0,2,0,0
2020-06-10 11:45:00,1336305.0,2,0,0
2020-06-10 12:00:00,1337631.0,2,0,0
2020-06-10 12:15:00,1339104.0,2,0,0
2020-06-10 12:30:00,1342223.0,2,0,0
2020-06-10 12:45:00,1347605.0,2,0,0
2020-06-10 13:00:00,1358564.0,2,0,0
2020-06-10 13:15:00,1368888.0,2,0,0
2020-06-10 13:30:00,1375998.0,2,0,0
2020-06-10 13:45:00,1377884.0,2,0,0
2020-06-10 14:00:00,1379010.0,2,0,0
2020-06-10 14:15:00,1379276.0,2,0,0
2020-06-10 14:30:00,1379475.0,2,0,0
2020-06-10 14:45:00,1379593.0,2,0,0
2020-06-10 15:00:00,1380035.0,2,0,0
2020-06-10 15:15:00,1380449.0,2,0,0
2020-06-10 15:30:00,1380754.0,2,0,0
2020-06-10 15:45:00,1380884.0,2,0,0
2020-06-10 16:00:00,1381568.0,2,0,0
