时间列,预测列,特征列1,特征列2,干扰因素1,干扰因素2
2019/11/14 12:00,267,3,工作日,下雨,没放假
2019/11/14 12:00,267,3,工作日,下雨,没放假
2019/11/14 13:00,251,3,工作日,下雨,没放假
2019/11/14 14:00,308,3,工作日,下雨,没放假
2019/11/14 15:00,286,3,工作日,下雨,没放假
2019/11/14 16:00,289,3,工作日,下雨,没放假
2019/11/14 17:00,308,3,工作日,下雨,没放假
2019/11/14 18:00,325,3,工作日,下雨,没放假
2019/11/14 19:00,337,3,工作日,下雨,没放假
2019/11/14 20:00,315,3,工作日,下雨,没放假
2019/11/14 21:00,226,3,工作日,下雨,没放假
2019/11/14 22:00,127,3,工作日,下雨,没放假
2019/11/14 23:00,56,3,工作日,下雨,没放假
2019/11/15 0:00,25,4,工作日,下雨,没放假
2019/11/15 1:00,12,4,工作日,下雨,没放假
2019/11/15 2:00,,4,工作日,下雨,没放假
2019/11/15 3:00,7,4,工作日,下雨,没放假
2019/11/15 4:00,8,4,工作日,下雨,没放假
2019/11/15 5:00,14,4,工作日,下雨,没放假
2019/11/15 6:00,29,4,工作日,下雨,没放假
2019/11/15 7:00,89,4,工作日,下雨,没放假
2019/11/15 8:00,167,4,工作日,下雨,没放假
2019/11/15 9:00,274,4,工作日,下雨,没放假
2019/11/15 10:00,332,4,工作日,下雨,没放假
2019/11/15 11:00,315,4,工作日,下雨,没放假
2019/11/15 12:00,276,4,工作日,下雨,没放假
2019/11/15 13:00,250,4,工作日,下雨,没放假
2019/11/15 14:00,277,4,工作日,下雨,没放假
2019/11/15 15:00,269,4,工作日,下雨,没放假
2019/11/15 16:00,277,4,工作日,下雨,没放假
2019/11/15 17:00,316,4,工作日,下雨,没放假
2019/11/15 18:00,324,4,工作日,下雨,没放假
2019/11/15 19:00,349,4,工作日,下雨,没放假
2019/11/15 20:00,308,4,工作日,下雨,没放假
2019/11/15 21:00,214,4,工作日,下雨,没放假
2019/11/15 22:00,122,4,工作日,下雨,没放假
2019/11/15 23:00,55,4,工作日,下雨,没放假
2019/11/16 0:00,24,5,周末,下雨,没放假
2019/11/16 1:00,11,5,周末,下雨,没放假
2019/11/16 2:00,10,5,周末,下雨,没放假
2019/11/16 3:00,9,5,周末,下雨,没放假
2019/11/16 4:00,7,5,周末,下雨,没放假
2019/11/16 5:00,12,5,周末,下雨,没放假
2019/11/16 6:00,32,5,周末,下雨,没放假
2019/11/16 7:00,91,5,周末,下雨,没放假
2019/11/16 8:00,164,5,周末,下雨,没放假
2019/11/16 9:00,264,5,周末,下雨,没放假
2019/11/16 10:00,305,5,周末,下雨,没放假
2019/11/16 11:00,310,5,周末,下雨,没放假
2019/11/16 12:00,265,5,周末,下雨,没放假
2019/11/16 13:00,231,5,周末,下雨,没放假
2019/11/16 14:00,240,5,周末,下雨,没放假
2019/11/16 15:00,224,5,周末,下雨,没放假
2019/11/16 16:00,232,5,周末,下雨,没放假
2019/11/16 17:00,260,5,周末,下雨,没放假
2019/11/16 18:00,295,5,周末,下雨,没放假
2019/11/16 19:00,321,5,周末,下雨,没放假
2019/11/16 20:00,292,5,周末,下雨,没放假
2019/11/16 21:00,206,5,周末,下雨,没放假
2019/11/16 22:00,116,5,周末,下雨,没放假
2019/11/16 23:00,50,5,周末,下雨,没放假
2019/11/17 0:00,26,6,周末,下雨,没放假
2019/11/17 1:00,13,6,周末,下雨,没放假
2019/11/17 2:00,8,6,周末,下雨,没放假
2019/11/17 3:00,9,6,周末,下雨,没放假
2019/11/17 4:00,7,6,周末,下雨,没放假
2019/11/17 5:00,14,6,周末,下雨,没放假
2019/11/17 6:00,25,6,周末,下雨,没放假
2019/11/17 7:00,85,6,周末,下雨,没放假
2019/11/17 8:00,160,6,周末,下雨,没放假
2019/11/17 9:00,234,6,周末,下雨,没放假
2019/11/17 10:00,285,6,周末,下雨,没放假
2019/11/17 11:00,266,6,周末,下雨,没放假
2019/11/17 12:00,250,6,周末,下雨,没放假
2019/11/17 13:00,229,6,周末,下雨,没放假
2019/11/17 14:00,215,6,周末,下雨,没放假
2019/11/17 15:00,208,6,周末,下雨,没放假
2019/11/17 16:00,214,6,周末,下雨,没放假
2019/11/17 17:00,,6,周末,下雨,没放假
2019/11/17 18:00,272,6,周末,下雨,没放假
2019/11/17 19:00,304,6,周末,下雨,没放假
2019/11/17 20:00,259,6,周末,下雨,没放假
2019/11/17 21:00,176,6,周末,下雨,没放假
2019/11/17 22:00,110,6,周末,下雨,没放假
2019/11/17 23:00,49,6,周末,下雨,没放假
2019/11/18 0:00,21,0,工作日,下雨,没放假
2019/11/18 1:00,14,0,工作日,下雨,没放假
2019/11/18 2:00,12,0,工作日,下雨,没放假
2019/11/18 3:00,10,0,工作日,下雨,没放假
2019/11/18 4:00,10,0,工作日,下雨,没放假
2019/11/18 5:00,15,0,工作日,下雨,没放假
2019/11/18 6:00,30,0,工作日,下雨,没放假
2019/11/18 7:00,91,0,工作日,下雨,没放假
2019/11/18 8:00,166,0,工作日,下雨,没放假
2019/11/18 9:00,278,0,工作日,下雨,没放假
2019/11/18 10:00,327,0,工作日,下雨,没放假
2019/11/18 11:00,335,0,工作日,下雨,没放假
2019/11/18 12:00,263,0,工作日,下雨,没放假
2019/11/18 13:00,245,0,工作日,下雨,没放假
2019/11/18 14:00,264,0,工作日,下雨,没放假
2019/11/18 15:00,273,0,工作日,天晴,放假
2019/11/18 16:00,276,0,工作日,下雨,没放假
2019/11/18 17:00,305,0,工作日,下雨,没放假
2019/11/18 18:00,305,0,工作日,下雨,没放假
2019/11/18 19:00,315,0,工作日,下雨,没放假
