ds,y,add_1,add_2,add_3
2020-03-03 06:30:00,1156283.0,1,0,0
2020-03-03 06:45:00,1162549.0,1,0,0
2020-03-03 07:00:00,1169524.0,1,0,0
2020-03-03 07:15:00,1176871.0,1,0,0
2020-03-03 07:30:00,1183943.0,1,0,0
2020-03-03 07:45:00,1190823.0,1,0,0
2020-03-03 08:00:00,1197820.0,1,0,0
2020-03-03 08:15:00,1204228.0,1,0,0
2020-03-03 08:30:00,1210421.0,1,0,0
2020-03-03 08:45:00,1215924.0,1,0,0
2020-03-03 09:00:00,1221470.0,1,0,0
2020-03-03 09:15:00,1226378.0,1,0,0
2020-03-03 09:30:00,1230589.0,1,0,0
2020-03-03 09:45:00,1234364.0,1,0,0
2020-03-03 10:00:00,1237511.0,1,0,0
2020-03-03 10:15:00,1240028.0,1,0,0
2020-03-03 10:30:00,1242420.0,1,0,0
2020-03-03 10:45:00,1244066.0,1,0,0
2020-03-03 11:00:00,1245589.0,1,0,0
2020-03-03 11:15:00,1247196.0,1,0,0
2020-03-03 11:30:00,1248545.0,1,0,0
2020-03-03 11:45:00,1249736.0,1,0,0
2020-03-03 12:00:00,1251002.0,1,0,0
2020-03-03 12:15:00,1251836.0,1,0,0
2020-03-03 12:30:00,1252623.0,1,0,0
2020-03-03 12:45:00,1253271.0,1,0,0
2020-03-03 13:00:00,1254054.0,1,0,0
2020-03-03 13:15:00,1254210.0,1,0,0
2020-03-03 13:30:00,1254285.0,1,0,0
2020-03-03 13:45:00,1254648.0,1,0,0
2020-03-03 14:00:00,1254741.0,1,0,0
2020-03-03 14:15:00,1254964.0,1,0,0
2020-03-03 14:30:00,1254993.0,1,0,0
2020-03-03 14:45:00,1254992.0,1,0,0
2020-03-03 15:00:00,1255520.0,1,0,0
2020-03-03 15:15:00,1255507.0,1,0,0
2020-03-03 15:30:00,1256061.0,1,0,0
2020-03-03 15:45:00,1256140.0,1,0,0
2020-03-03 16:00:00,1256329.0,1,0,0
2020-03-03 16:15:00,1256461.0,1,0,0
2020-03-03 16:30:00,1256608.0,1,0,0
2020-03-03 16:45:00,1257085.0,1,0,0
2020-03-03 17:00:00,1257808.0,1,0,0
2020-03-03 17:15:00,1258049.0,1,0,0
2020-03-03 17:30:00,1258811.0,1,0,0
2020-03-03 17:45:00,1259081.0,1,0,0
2020-03-03 18:00:00,1259730.0,1,0,0
2020-03-03 18:15:00,1259893.0,1,0,0
2020-03-03 18:30:00,1260242.0,1,0,0
2020-03-03 18:45:00,1259816.0,1,0,0
2020-03-03 19:00:00,1259743.0,1,0,0
2020-03-03 19:15:00,1259822.0,1,0,0
2020-03-03 19:30:00,1259634.0,1,0,0
2020-03-03 19:45:00,1259155.0,1,0,0
2020-03-03 20:00:00,1258978.0,1,0,0
2020-03-03 20:15:00,1258273.0,1,0,0
2020-03-03 20:30:00,1257659.0,1,0,0
2020-03-03 20:45:00,1256812.0,1,0,0
2020-03-03 21:00:00,1255724.0,1,0,0
2020-03-03 21:15:00,1253922.0,1,0,0
2020-03-03 21:30:00,1251541.0,1,0,0
2020-03-03 21:45:00,1248463.0,1,0,0
2020-03-03 22:00:00,1244916.0,1,0,0
2020-03-03 22:15:00,1240459.0,1,0,0
2020-03-03 22:30:00,1233789.0,1,0,0
2020-03-03 22:45:00,1227107.0,1,0,0
2020-03-03 23:00:00,1219480.0,1,0,0
2020-03-03 23:15:00,1212198.0,1,0,0
2020-03-03 23:30:00,1204837.0,1,0,0
2020-03-03 23:45:00,1197439.0,1,0,0
2020-03-04 00:00:00,1189683.0,2,0,0
2020-03-04 00:15:00,1182979.0,2,0,0
2020-03-04 00:30:00,1176786.0,2,0,0
2020-03-04 00:45:00,1171278.0,2,0,0
2020-03-04 01:00:00,1165862.0,2,0,0
2020-03-04 01:15:00,1161608.0,2,0,0
2020-03-04 01:30:00,1157903.0,2,0,0
2020-03-04 01:45:00,1154864.0,2,0,0
2020-03-04 02:00:00,1151988.0,2,0,0
2020-03-04 02:15:00,1149635.0,2,0,0
2020-03-04 02:30:00,1147608.0,2,0,0
2020-03-04 02:45:00,1146086.0,2,0,0
2020-03-04 03:00:00,1144508.0,2,0,0
2020-03-04 03:15:00,1143466.0,2,0,0
2020-03-04 03:30:00,1142664.0,2,0,0
2020-03-04 03:45:00,1142060.0,2,0,0
2020-03-04 04:00:00,1141436.0,2,0,0
2020-03-04 04:15:00,1141182.0,2,0,0
2020-03-04 04:30:00,1141107.0,2,0,0
2020-03-04 04:45:00,1141582.0,2,0,0
2020-03-04 05:00:00,1142110.0,2,0,0
2020-03-04 05:15:00,1143161.0,2,0,0
2020-03-04 05:30:00,1144495.0,2,0,0
2020-03-04 05:45:00,1146916.0,2,0,0
2020-03-04 06:00:00,1149708.0,2,0,0
2020-03-04 06:15:00,1152925.0,2,0,0
2020-03-04 06:30:00,1157234.0,2,0,0
2020-03-04 06:45:00,1163170.0,2,0,0
2020-03-04 07:00:00,1169765.0,2,0,0
2020-03-04 07:15:00,1176756.0,2,0,0
2020-03-04 07:30:00,1183975.0,2,0,0
2020-03-04 07:45:00,1190848.0,2,0,0
2020-03-04 08:00:00,1197992.0,2,0,0
2020-03-04 08:15:00,1204315.0,2,0,0
2020-03-04 08:30:00,1210384.0,2,0,0
2020-03-04 08:45:00,1215999.0,2,0,0
2020-03-04 09:00:00,1222059.0,2,0,0
2020-03-04 09:15:00,1227277.0,2,0,0
2020-03-04 09:30:00,1231375.0,2,0,0
2020-03-04 09:45:00,1235108.0,2,0,0
2020-03-04 10:00:00,1238594.0,2,0,0
2020-03-04 10:15:00,1241054.0,2,0,0
2020-03-04 10:30:00,1243141.0,2,0,0
2020-03-04 10:45:00,1245156.0,2,0,0
2020-03-04 11:00:00,1246862.0,2,0,0
2020-03-04 11:15:00,1248400.0,2,0,0
2020-03-04 11:30:00,1250057.0,2,0,0
2020-03-04 11:45:00,1250876.0,2,0,0
2020-03-04 12:00:00,1251966.0,2,0,0
2020-03-04 12:15:00,1252584.0,2,0,0
2020-03-04 12:30:00,1253656.0,2,0,0
2020-03-04 12:45:00,1254059.0,2,0,0
2020-03-04 13:00:00,1254804.0,2,0,0
2020-03-04 13:15:00,1255061.0,2,0,0
2020-03-04 13:30:00,1255230.0,2,0,0
2020-03-04 13:45:00,1255220.0,2,0,0
2020-03-04 14:00:00,1255530.0,2,0,0
2020-03-04 14:15:00,1255718.0,2,0,0
2020-03-04 14:30:00,1255803.0,2,0,0
2020-03-04 14:45:00,1255635.0,2,0,0
2020-03-04 15:00:00,1255788.0,2,0,0
2020-03-04 15:15:00,1256210.0,2,0,0
2020-03-04 15:30:00,1256267.0,2,0,0
2020-03-04 15:45:00,1256452.0,2,0,0
2020-03-04 16:00:00,1257054.0,2,0,0
2020-03-04 16:15:00,1257112.0,2,0,0
2020-03-04 16:30:00,1257237.0,2,0,0
2020-03-04 16:45:00,1257896.0,2,0,0
2020-03-04 17:00:00,1258660.0,2,0,0
2020-03-04 17:15:00,1259153.0,2,0,0
2020-03-04 17:30:00,1259778.0,2,0,0
2020-03-04 17:45:00,1260420.0,2,0,0
2020-03-04 18:00:00,1261049.0,2,0,0
2020-03-04 18:15:00,1261582.0,2,0,0
2020-03-04 18:30:00,1261717.0,2,0,0
2020-03-04 18:45:00,1261769.0,2,0,0
2020-03-04 19:00:00,1261759.0,2,0,0
2020-03-04 19:15:00,1261740.0,2,0,0
2020-03-04 19:30:00,1261826.0,2,0,0
2020-03-04 19:45:00,1261618.0,2,0,0
2020-03-04 20:00:00,1261131.0,2,0,0
2020-03-04 20:15:00,1260730.0,2,0,0
2020-03-04 20:30:00,1260099.0,2,0,0
2020-03-04 20:45:00,1258415.0,2,0,0
2020-03-04 21:00:00,1257196.0,2,0,0
2020-03-04 21:15:00,1254976.0,2,0,0
2020-03-04 21:30:00,1252272.0,2,0,0
2020-03-04 21:45:00,1249127.0,2,0,0
2020-03-04 22:00:00,1245538.0,2,0,0
2020-03-04 22:15:00,1241259.0,2,0,0
2020-03-04 22:30:00,1234671.0,2,0,0
2020-03-04 22:45:00,1228083.0,2,0,0
2020-03-04 23:00:00,1219818.0,2,0,0
2020-03-04 23:15:00,1212328.0,2,0,0
2020-03-04 23:30:00,1204637.0,2,0,0
2020-03-04 23:45:00,1197451.0,2,0,0
2020-03-05 00:00:00,1189505.0,3,0,0
2020-03-05 00:15:00,1182969.0,3,0,0
2020-03-05 00:30:00,1176914.0,3,0,0
2020-03-05 00:45:00,1171334.0,3,0,0
2020-03-05 01:00:00,1165967.0,3,0,0
2020-03-05 01:15:00,1161730.0,3,0,0
2020-03-05 01:30:00,1157616.0,3,0,0
2020-03-05 01:45:00,1154783.0,3,0,0
2020-03-05 02:00:00,1151806.0,3,0,0
2020-03-05 02:15:00,1149540.0,3,0,0
2020-03-05 02:30:00,1145692.0,3,0,0
2020-03-05 02:45:00,1145935.0,3,0,0
2020-03-05 03:00:00,1144232.0,3,0,0
2020-03-05 03:15:00,1143077.0,3,0,0
2020-03-05 03:30:00,1142321.0,3,0,0
2020-03-05 03:45:00,1141643.0,3,0,0
2020-03-05 04:00:00,1140958.0,3,0,0
2020-03-05 04:15:00,1140644.0,3,0,0
2020-03-05 04:30:00,1140701.0,3,0,0
2020-03-05 04:45:00,1141043.0,3,0,0
2020-03-05 05:00:00,1141452.0,3,0,0
2020-03-05 05:15:00,1142589.0,3,0,0
2020-03-05 05:30:00,1144028.0,3,0,0
2020-03-05 05:45:00,1146592.0,3,0,0
2020-03-05 06:00:00,1149175.0,3,0,0
2020-03-05 06:15:00,1152529.0,3,0,0
2020-03-05 06:30:00,1156577.0,3,0,0
2020-03-05 06:45:00,1162602.0,3,0,0
2020-03-05 07:00:00,1169239.0,3,0,0
2020-03-05 07:15:00,1176060.0,3,0,0
2020-03-05 07:30:00,1182736.0,3,0,0
2020-03-05 07:45:00,1189438.0,3,0,0
2020-03-05 08:00:00,1196462.0,3,0,0
2020-03-05 08:15:00,1202924.0,3,0,0
2020-03-05 08:30:00,1208653.0,3,0,0
2020-03-05 08:45:00,1214460.0,3,0,0
2020-03-05 09:00:00,1220674.0,3,0,0
2020-03-05 09:15:00,1225668.0,3,0,0
2020-03-05 09:30:00,1230308.0,3,0,0
2020-03-05 09:45:00,1233969.0,3,0,0
2020-03-05 10:00:00,1237268.0,3,0,0
2020-03-05 10:15:00,1239813.0,3,0,0
2020-03-05 10:30:00,1242156.0,3,0,0
2020-03-05 10:45:00,1244160.0,3,0,0
2020-03-05 11:00:00,1246049.0,3,0,0
2020-03-05 11:15:00,1247887.0,3,0,0
2020-03-05 11:30:00,1249557.0,3,0,0
2020-03-05 11:45:00,1250713.0,3,0,0
2020-03-05 12:00:00,1251843.0,3,0,0
2020-03-05 12:15:00,1252778.0,3,0,0
2020-03-05 12:30:00,1253775.0,3,0,0
2020-03-05 12:45:00,1253933.0,3,0,0
2020-03-05 13:00:00,1254776.0,3,0,0
2020-03-05 13:15:00,1255258.0,3,0,0
2020-03-05 13:30:00,1255681.0,3,0,0
2020-03-05 13:45:00,1255718.0,3,0,0
2020-03-05 14:00:00,1255818.0,3,0,0
2020-03-05 14:15:00,1255961.0,3,0,0
2020-03-05 14:30:00,1255972.0,3,0,0
2020-03-05 14:45:00,1255937.0,3,0,0
2020-03-05 15:00:00,1256415.0,3,0,0
2020-03-05 15:15:00,1256527.0,3,0,0
2020-03-05 15:30:00,1256981.0,3,0,0
2020-03-05 15:45:00,1257285.0,3,0,0
2020-03-05 16:00:00,1257442.0,3,0,0
2020-03-05 16:15:00,1257725.0,3,0,0
2020-03-05 16:30:00,1258083.0,3,0,0
2020-03-05 16:45:00,1258489.0,3,0,0
2020-03-05 17:00:00,1259239.0,3,0,0
2020-03-05 17:15:00,1259510.0,3,0,0
2020-03-05 17:30:00,1260172.0,3,0,0
2020-03-05 17:45:00,1260549.0,3,0,0
2020-03-05 18:00:00,1260888.0,3,0,0
2020-03-05 18:15:00,1261245.0,3,0,0
2020-03-05 18:30:00,1261513.0,3,0,0
2020-03-05 18:45:00,1260885.0,3,0,0
2020-03-05 19:00:00,1260967.0,3,0,0
